棋戦,期,年度,優勝者,勝,敗,相手
名人戦,83,2025,藤井聡太,4,1,永瀬拓矢
名人戦,82,2024,藤井聡太,4,1,豊島将之
名人戦,81,2023,藤井聡太,4,1,渡辺明
名人戦,80,2022,渡辺明,4,1,斎藤慎太郎
名人戦,79,2021,渡辺明,4,1,斎藤慎太郎
名人戦,78,2020,渡辺明,4,2,豊島将之
名人戦,77,2019,豊島将之,4,0,佐藤天彦
名人戦,76,2018,佐藤天彦,4,2,羽生善治
名人戦,75,2017,佐藤天彦,4,2,稲葉陽
名人戦,74,2016,佐藤天彦,4,1,羽生善治
名人戦,73,2015,羽生善治,4,1,行方尚史
名人戦,72,2014,羽生善治,4,0,森内俊之
名人戦,71,2013,森内俊之,4,1,羽生善治
名人戦,70,2012,森内俊之,4,2,羽生善治
名人戦,69,2011,森内俊之,4,3,羽生善治
名人戦,68,2010,羽生善治,4,0,三浦弘行
名人戦,67,2009,羽生善治,4,3,郷田真隆
名人戦,66,2008,羽生善治,4,2,森内俊之
名人戦,65,2007,森内俊之,4,3,郷田真隆
名人戦,64,2006,森内俊之,4,2,谷川浩司
名人戦,63,2005,森内俊之,4,3,羽生善治
名人戦,62,2004,森内俊之,4,2,羽生善治
名人戦,61,2003,羽生善治,4,0,森内俊之
名人戦,60,2002,森内俊之,4,0,丸山忠久
名人戦,59,2001,丸山忠久,4,3,谷川浩司
名人戦,58,2000,丸山忠久,4,3,佐藤康光
名人戦,57,1999,佐藤康光,4,3,谷川浩司
名人戦,56,1998,佐藤康光,4,3,谷川浩司
名人戦,55,1997,谷川浩司,4,2,羽生善治
名人戦,54,1996,羽生善治,4,1,森内俊之
名人戦,53,1995,羽生善治,4,1,森下卓
名人戦,52,1994,羽生善治,4,2,米長邦雄
名人戦,51,1993,米長邦雄,4,0,中原誠
名人戦,50,1992,中原誠,4,3,高橋道雄
名人戦,49,1991,中原誠,4,1,米長邦雄
名人戦,48,1990,中原誠,4,2,谷川浩司
名人戦,47,1989,谷川浩司,4,0,米長邦雄
名人戦,46,1988,谷川浩司,4,2,中原誠
名人戦,45,1987,中原誠,4,2,米長邦雄
名人戦,44,1986,中原誠,4,1,大山康晴
名人戦,43,1985,中原誠,4,2,谷川浩司
名人戦,42,1984,谷川浩司,4,1,森安秀光
名人戦,41,1983,谷川浩司,4,2,加藤一二三
名人戦,40,1982,加藤一二三,4,3,中原誠
名人戦,39,1981,中原誠,4,1,桐山清澄
名人戦,38,1980,中原誠,4,1,米長邦雄
名人戦,37,1979,中原誠,4,2,米長邦雄
名人戦,36,1978,中原誠,4,2,森けい二
名人戦,35,1976,中原誠,4,3,米長邦雄
名人戦,34,1975,中原誠,4,3,大内延介
名人戦,33,1974,中原誠,4,3,大山康晴
名人戦,32,1973,中原誠,4,0,加藤一二三
名人戦,31,1972,中原誠,4,3,大山康晴
名人戦,30,1971,大山康晴,4,3,升田幸三
名人戦,29,1970,大山康晴,4,1,灘蓮照
名人戦,28,1969,大山康晴,4,3,有吉道夫
名人戦,27,1968,大山康晴,4,0,升田幸三
名人戦,26,1967,大山康晴,4,1,二上達也
名人戦,25,1966,大山康晴,4,2,升田幸三
名人戦,24,1965,大山康晴,4,1,山田道美
名人戦,23,1964,大山康晴,4,2,二上達也
名人戦,22,1963,大山康晴,4,1,升田幸三
名人戦,21,1962,大山康晴,4,0,二上達也
名人戦,20,1961,大山康晴,4,1,丸田祐三
名人戦,19,1960,大山康晴,4,1,加藤一二三
名人戦,18,1959,大山康晴,4,1,升田幸三
名人戦,17,1958,升田幸三,4,2,大山康晴
名人戦,16,1957,升田幸三,4,2,大山康晴
名人戦,15,1956,大山康晴,4,0,花村元司
名人戦,14,1955,大山康晴,4,2,高島一岐代
名人戦,13,1954,大山康晴,4,1,升田幸三
名人戦,12,1953,大山康晴,4,1,升田幸三
名人戦,11,1952,大山康晴,4,1,木村義雄
名人戦,10,1951,木村義雄,4,2,升田幸三
名人戦,9,1950,木村義雄,4,2,大山康晴
名人戦,8,1949,木村義雄,3,2,塚田正夫
名人戦,7,1948,塚田正夫,4,2,大山康晴
名人戦,6,1947,塚田正夫,4,2,木村義雄
名人戦,5,,木村義雄,,,
名人戦,4,,木村義雄,,,
名人戦,3,1942,木村義雄,4,0,神田辰之助
名人戦,2,1940,木村義雄,4,1,土居市太郎
名人戦,1,1937,木村義雄,,,
